joint1,2,3,4,5,6,7,manip,x,y,z,force
0.237902,1.2566,2.26153,-1.28527,-1.40727,-0.842147,-0.201117,0.0911689,0.329621,0.383616,0.971987,0.134,
0.239444,1.25641,2.26136,-1.28592,-1.40643,-0.842385,-0.203646,0.0911618,0.328702,0.384147,0.971987,-0.166,
0.241154,1.25616,2.26106,-1.28631,-1.40572,-0.84269,-0.206032,0.0911635,0.327801,0.38476,0.971987,0.134,
0.242525,1.25596,2.26083,-1.28662,-1.40515,-0.842937,-0.207936,0.091165,0.327081,0.38525,0.971987,0.034,
0.244224,1.25571,2.26055,-1.28705,-1.40442,-0.843238,-0.210356,0.0911655,0.326169,0.385853,0.971987,0.134,
0.245587,1.25551,2.26032,-1.28739,-1.40383,-0.843481,-0.212286,0.0911662,0.32544,0.386335,0.971987,0.034,
0.247281,1.25527,2.26005,-1.28783,-1.40308,-0.84378,-0.214724,0.0911663,0.324521,0.38693,0.971987,0.234,
0.248769,1.25508,2.25989,-1.28849,-1.40224,-0.844011,-0.217202,0.0911587,0.323618,0.387429,0.971987,0.134,
0.251014,1.25459,2.25894,-1.28723,-1.40257,-0.844638,-0.21802,0.0912131,0.323082,0.388371,0.971987,0.034,
0.253416,1.2541,2.25808,-1.2864,-1.40255,-0.845244,-0.219555,0.0912562,0.322319,0.389334,0.971987,-0.166,
0.255341,1.25372,2.25739,-1.28572,-1.40255,-0.84573,-0.220773,0.0912908,0.321709,0.390105,0.971987,-0.166,
0.257489,1.25332,2.25675,-1.28534,-1.40227,-0.846224,-0.222625,0.0913183,0.320888,0.390931,0.971987,0.134,
0.259211,1.25301,2.25623,-1.28502,-1.40206,-0.846621,-0.224099,0.0913405,0.32023,0.391592,0.971987,0.034,
0.26059,1.25275,2.25581,-1.28477,-1.40189,-0.84694,-0.225272,0.0913584,0.319705,0.392121,0.971987,0.034,
0.261694,1.25255,2.25547,-1.28456,-1.40176,-0.847195,-0.226209,0.0913728,0.319285,0.392544,0.971987,0.034,
0.263882,1.2521,2.25466,-1.2837,-1.40182,-0.847755,-0.22747,0.0914142,0.318619,0.393422,0.971987,0.134,
0.265634,1.25174,2.25401,-1.283,-1.40187,-0.848203,-0.228473,0.0914474,0.318087,0.394124,0.971987,0.134,
0.267038,1.25146,2.25349,-1.28243,-1.40191,-0.848562,-0.22927,0.091474,0.317661,0.394686,0.971987,0.034,
0.268989,1.25104,2.25269,-1.28141,-1.40214,-0.849089,-0.230065,0.0915175,0.317157,0.395488,0.971987,0.134,
0.270551,1.2507,2.25205,-1.28058,-1.40233,-0.849511,-0.230696,0.0915524,0.316755,0.396129,0.971987,0.034,
0.271802,1.25044,2.25154,-1.27992,-1.40248,-0.849848,-0.231197,0.0915802,0.316433,0.396643,0.971987,0.034,
0.274113,1.24994,2.25058,-1.27867,-1.40278,-0.850474,-0.232089,0.0916321,0.315846,0.397592,0.971987,0.134,
0.275964,1.24954,2.24982,-1.27766,-1.40302,-0.850974,-0.232796,0.0916736,0.315376,0.398352,0.971987,0.034,
0.277724,1.24927,2.24947,-1.27791,-1.40241,-0.851302,-0.235046,0.0916793,0.31448,0.398963,0.971987,0.034,
0.279135,1.24906,2.24919,-1.27811,-1.40191,-0.851565,-0.236841,0.0916841,0.313762,0.399452,0.971987,0.034,
0.281235,1.2487,2.24864,-1.27797,-1.40149,-0.852012,-0.238942,0.0917034,0.312856,0.400219,0.971987,-0.066,
0.282919,1.24841,2.24819,-1.27784,-1.40116,-0.85237,-0.240615,0.091719,0.312131,0.400832,0.971987,0.034,
0.284268,1.24817,2.24783,-1.27774,-1.40089,-0.852658,-0.241948,0.0917316,0.311551,0.401323,0.971987,0.034,
0.285348,1.24799,2.24754,-1.27765,-1.40068,-0.852888,-0.243012,0.0917418,0.311087,0.401717,0.971987,0.034,
0.287811,1.24756,2.24687,-1.2774,-1.40024,-0.853421,-0.245368,0.0917665,0.310048,0.402616,0.971987,-0.066,
0.289786,1.24721,2.24632,-1.27719,-1.3999,-0.853849,-0.247242,0.0917865,0.309217,0.403335,0.971987,-0.066,
0.291369,1.24693,2.24589,-1.27701,-1.39963,-0.854192,-0.248735,0.0918027,0.308553,0.403912,0.971987,0.034,
0.293125,1.24661,2.24536,-1.2767,-1.3994,-0.854586,-0.250248,0.0918236,0.307855,0.40456,0.971987,0.034,
0.294533,1.24636,2.24494,-1.27645,-1.39922,-0.854902,-0.251454,0.0918405,0.307297,0.405079,0.971987,0.034,
0.296779,1.24596,2.24432,-1.2762,-1.39884,-0.855388,-0.253574,0.0918632,0.306349,0.405892,0.971987,0.034,
0.29858,1.24565,2.24382,-1.27599,-1.39853,-0.855778,-0.255262,0.0918817,0.305591,0.406543,0.971987,0.034,
0.300023,1.24539,2.24342,-1.27582,-1.39829,-0.856092,-0.256607,0.0918966,0.304985,0.407063,0.971987,0.034,
0.301179,1.24519,2.24309,-1.27567,-1.3981,-0.856343,-0.257679,0.0919086,0.3045,0.40748,0.971987,0.034,
0.303722,1.24474,2.24237,-1.27532,-1.39771,-0.8569,-0.259994,0.0919359,0.303444,0.408398,0.971987,-0.066,
0.305761,1.24437,2.24179,-1.27503,-1.3974,-0.857347,-0.261836,0.0919579,0.302599,0.409133,0.971987,0.034,
0.307395,1.24408,2.24132,-1.2748,-1.39716,-0.857705,-0.263302,0.0919758,0.301924,0.409721,0.971987,0.334,
0.309198,1.24375,2.24076,-1.27442,-1.39697,-0.858113,-0.26478,0.0919982,0.301217,0.41038,0.971987,0.134,
0.31128,1.24339,2.2402,-1.27422,-1.39659,-0.858558,-0.266777,0.0920182,0.300317,0.411116,0.971987,-0.166,
0.31295,1.2431,2.23974,-1.27404,-1.3963,-0.858916,-0.268368,0.0920344,0.299597,0.411706,0.971987,0.034,
0.314287,1.24286,2.23937,-1.2739,-1.39606,-0.859203,-0.269636,0.0920475,0.299021,0.412178,0.971987,0.034,
0.315695,1.2427,2.23931,-1.2748,-1.39509,-0.859387,-0.272328,0.0920337,0.298028,0.412566,0.971987,-0.066,
0.316824,1.24258,2.23926,-1.27551,-1.39431,-0.859538,-0.274477,0.0920229,0.297233,0.412877,0.971986,0.034,
0.318228,1.24237,2.23904,-1.27589,-1.3937,-0.859782,-0.276496,0.0920227,0.296431,0.413315,0.971986,0.134,
0.319353,1.24221,2.23886,-1.27619,-1.39321,-0.859978,-0.278107,0.0920227,0.295789,0.413664,0.971986,-0.066,
